ticker,tickerId,exchangeId,type,secType,regionId,regionCode,currencyId,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,derivativeSupport,isPTP,isAdr,filingsSupport,shariahFlag,issuerRegionId,securitySubType,bondSupport,mkTradeTime,tradeTime,status,close,change,changeRatio,marketValue,volume,turnoverRate,overnight,nBaSize,timeZone,tzName,preClose,open,high,low,vibrateRatio,avgVol10D,avgVol3M,negMarketValue,pe,forwardPe,indicatedPe,peTtm,eps,epsTtm,pb,totalShares,outstandingShares,fiftyTwoWkHigh,fiftyTwoWkLow,dividend,yield,baSize,ntvSize,currencyCode,lotSize,latestDividendDate,latestSplitDate,latestEarningsDate,ps,bps,estimateEarningsDate,tradeStatus,bboValve
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-22T16:45:20.574+0000,2025-08-22T16:45:20.574+0000,T,227.31,2.41,0.0107,3373369050900.00,17209410,0.0012,0,1,America/New_York,EDT,224.90,226.10,228.72,225.41,0.0147,46799621,55884373,3306673791489.18,37.36,30.80,25.90,34.56,6.08,6.58,51.30,14840390000,14546978978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.26,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-22T16:45:20.796+0000,2025-08-22T16:45:20.796+0000,T,336.88,16.77,0.0524,1086589221726.32,56089312,0.0174,0,1,America/New_York,EDT,320.11,321.53,338.27,319.69,0.0580,69042588,100514634,946670813202.32,165.27,269.50,76.96,195.25,2.038,1.725,14.05,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.71,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-22T17:39:35.605+0000,2025-08-22T17:39:35.605+0000,T,228.14,3.24,0.0144,3385686574600.00,22278353,0.0015,0,1,America/New_York,EDT,224.90,226.10,229.09,225.41,0.0164,46799621,55884373,3318747784040.92,37.50,30.91,25.90,34.68,6.08,6.58,51.49,14840390000,14546978978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.29,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-22T17:39:37.991+0000,2025-08-22T17:39:37.991+0000,T,337.84,17.73,0.0554,1089685652659.76,63580427,0.0197,0,1,America/New_York,EDT,320.11,321.53,338.33,319.69,0.0582,69042588,100514634,949368521527.76,165.75,270.27,76.96,195.80,2.038,1.725,14.09,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.75,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-22T18:47:51.234+0000,2025-08-22T18:47:51.234+0000,T,228.43,3.53,0.0157,3389990287700.00,28335169,0.0019,0,1,America/New_York,EDT,224.90,226.10,229.09,225.41,0.0164,46799621,55884373,3322966407944.54,37.55,30.95,25.90,34.73,6.08,6.58,51.55,14840390000,14546978978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.31,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-22T18:47:51.354+0000,2025-08-22T18:47:51.354+0000,T,338.68,18.57,0.0580,1092407608977.19,72320631,0.0224,0,1,America/New_York,EDT,320.11,321.53,339.05,319.69,0.0605,69042588,100514634,951739975752.59,166.16,270.95,76.96,196.29,2.038,1.725,14.12,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.78,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-22T19:36:03.367+0000,2025-08-22T19:36:03.367+0000,T,227.73,2.83,0.0126,3379600530661.00,30718119,0.0021,0,1,America/New_York,EDT,224.90,226.10,229.09,225.41,0.0164,46799621,55884373,3312782067962.04,37.43,30.86,25.90,34.62,6.08,6.58,51.39,14840390000,14546978978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.28,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-22T19:36:04.099+0000,2025-08-22T19:36:04.099+0000,T,337.86,17.75,0.0555,1089763063433.10,79276162,0.0246,0,1,America/New_York,EDT,320.11,321.53,339.55,319.69,0.0620,69042588,100514634,949435964235.90,165.76,270.29,76.96,195.82,2.038,1.725,14.09,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.75,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-22T20:00:01.106+0000,2025-08-22T20:23:25.926+0000,A,227.76,2.86,0.0127,3380047226400.00,42195030,0.0028,0,1,America/New_York,EDT,224.90,226.17,229.09,225.41,0.0164,46799621,55884373,3313219932029.28,37.44,30.86,25.90,34.62,6.08,6.58,51.40,14840390000,14546978978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.28,4.431,10/29-11/03,A,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-22T20:00:00.362+0000,2025-08-22T20:23:31.106+0000,A,340.01,19.90,0.0622,1096684876748.89,92200227,0.0286,0,1,America/New_York,EDT,320.11,321.66,340.25,319.69,0.0642,69042588,100514634,955466466388.39,166.81,272.01,76.96,197.06,2.038,1.725,14.18,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.82,23.98,10/21-10/27,A,0
